noise,method,origins,poly_count,area
0,Real,11,,
0,Top-Down,3,3.0,4580.5
0,Imp BU,5,11.0,108.5
0,Real,12,,
0,Top-Down,2,2.0,5767.0
0,Imp BU,2,36.0,426.0
0,Real,10,,
0,Top-Down,3,3.0,4901.5
0,Imp BU,1,38.0,651.0
0,Real,15,,
0,Top-Down,3,3.0,5744.5
0,Imp BU,2,7.0,82.5
0,Real,19,,
0,Top-Down,2,4.0,5758.0
0,Imp BU,4,40.0,496.0
0,Real,20,,
0,Top-Down,7,7.0,5930.5
0,Imp BU,3,35.0,496.5
0,Real,16,,
0,Top-Down,4,6.0,6698.0
0,Imp BU,8,33.0,359.5
0,Real,20,,
0,Top-Down,5,5.0,6614.5
0,Imp BU,5,56.0,584.0
0,Real,14,,
0,Top-Down,5,5.0,5739.5
0,Imp BU,5,36.0,519.0
0,Real,16,,
0,Top-Down,7,8.0,5835.5
0,Imp BU,2,20.0,359.0
0,Real,17,,
0,Top-Down,4,4.0,5829.0
0,Imp BU,2,43.0,711.5
0,Real,21,,
0,Top-Down,4,4.0,6320.0
0,Imp BU,1,43.0,664.5
0,Real,20,,
0,Top-Down,4,5.0,5805.0
0,Imp BU,3,14.0,206.0
0,Real,15,,
0,Top-Down,3,3.0,5178.5
0,Imp BU,2,20.0,268.0
0,Real,19,,
0,Top-Down,2,2.0,6242.0
0,Imp BU,9,43.0,520.5
0,Real,22,,
0,Top-Down,6,6.0,5743.0
0,Imp BU,6,66.0,814.0
0,Real,20,,
0,Top-Down,6,9.0,6217.0
0,Imp BU,3,26.0,344.0
0,Real,22,,
0,Top-Down,4,5.0,5665.0
0,Imp BU,1,32.0,720.0
0,Real,20,,
0,Top-Down,6,6.0,5166.0
0,Imp BU,1,52.0,868.0
0,Real,16,,
0,Top-Down,3,4.0,6449.5
0,Imp BU,7,37.0,702.5
0,Real,21,,
0,Top-Down,7,7.0,6063.5
0,Imp BU,9,59.0,826.5
0,Real,18,,
0,Top-Down,6,6.0,6416.0
0,Imp BU,6,52.0,766.0
0,Real,17,,
0,Top-Down,3,5.0,6540.5
0,Imp BU,1,10.0,95.0
0,Real,15,,
0,Top-Down,5,5.0,3930.5
0,Imp BU,3,41.0,543.5
0,Real,9,,
0,Top-Down,4,4.0,4924.0
0,Imp BU,4,60.0,772.0
0,Real,17,,
0,Top-Down,5,5.0,6040.5
0,Imp BU,9,19.0,200.5
0,Real,14,,
0,Top-Down,7,7.0,6065.5
0,Imp BU,3,64.0,1181.0
0,Real,23,,
0,Top-Down,4,5.0,6717.0
0,Imp BU,2,33.0,428.5
0,Real,11,,
0,Top-Down,4,5.0,4919.0
0,Imp BU,2,28.0,354.0
0,Real,19,,
0,Top-Down,4,6.0,6546.0
0,Imp BU,2,21.0,393.5
10,Real,18,,
10,Top-Down,4,5.0,6794.0
10,Imp BU,3,20.0,308.0
10,Real,10,,
10,Top-Down,3,3.0,5867.5
10,Imp BU,3,58.0,904.0
10,Real,20,,
10,Top-Down,6,6.0,6196.0
10,Imp BU,7,48.0,677.0
10,Real,19,,
10,Top-Down,6,7.0,6465.0
10,Imp BU,4,62.0,948.0
10,Real,17,,
10,Top-Down,7,8.0,4859.5
10,Imp BU,5,52.0,718.0
10,Real,12,,
10,Top-Down,3,3.0,5068.5
10,Imp BU,2,28.0,332.0
10,Real,14,,
10,Top-Down,3,3.0,5275.5
10,Imp BU,5,26.0,312.0
10,Real,12,,
10,Top-Down,4,4.0,5041.0
10,Imp BU,1,30.0,522.0
10,Real,19,,
10,Top-Down,8,9.0,6299.0
10,Imp BU,3,38.0,525.0
10,Real,17,,
10,Top-Down,7,7.0,5020.5
10,Imp BU,1,46.0,806.0
10,Real,19,,
10,Top-Down,7,8.0,5272.5
10,Imp BU,3,48.0,648.0
10,Real,14,,
10,Top-Down,4,4.0,5437.0
10,Imp BU,2,26.0,486.0
10,Real,16,,
10,Top-Down,6,6.0,5322.0
10,Imp BU,6,36.0,422.0
10,Real,14,,
10,Top-Down,6,7.0,5432.0
10,Imp BU,2,36.0,511.0
10,Real,23,,
10,Top-Down,7,7.0,6098.5
10,Imp BU,4,37.0,533.5
10,Real,19,,
10,Top-Down,8,9.0,5618.0
10,Imp BU,1,25.0,390.5
10,Real,17,,
10,Top-Down,5,5.0,5507.5
10,Imp BU,4,26.0,273.0
10,Real,18,,
10,Top-Down,5,6.0,6493.5
10,Imp BU,4,24.0,241.0
10,Real,12,,
10,Top-Down,2,2.0,4832.0
10,Imp BU,2,32.0,447.0
10,Real,17,,
10,Top-Down,4,4.0,5251.0
10,Imp BU,4,37.0,456.5
10,Real,16,,
10,Top-Down,3,4.0,6419.5
10,Imp BU,6,49.0,532.5
10,Real,20,,
10,Top-Down,2,5.0,7041.0
10,Imp BU,4,64.0,984.0
10,Real,21,,
10,Top-Down,3,4.0,6387.5
10,Imp BU,4,50.0,627.0
10,Real,24,,
10,Top-Down,9,9.0,5449.5
10,Imp BU,3,42.0,445.0
10,Real,19,,
10,Top-Down,4,4.0,5372.0
10,Imp BU,4,64.0,821.0
10,Real,17,,
10,Top-Down,5,10.0,6479.5
10,Imp BU,1,19.0,409.5
10,Real,24,,
10,Top-Down,4,6.0,6112.0
10,Imp BU,3,39.0,541.5
10,Real,16,,
10,Top-Down,3,4.0,5418.5
10,Imp BU,5,66.0,781.0
10,Real,15,,
10,Top-Down,2,3.0,5705.0
10,Imp BU,6,34.0,361.0
10,Real,16,,
10,Top-Down,5,6.0,5380.5
10,Imp BU,2,56.0,811.0
20,Real,15,,
20,Top-Down,5,5.0,5880.5
20,Imp BU,6,40.0,443.0
20,Real,20,,
20,Top-Down,3,3.0,6890.5
20,Imp BU,3,31.0,458.5
20,Real,15,,
20,Top-Down,6,7.0,4930.0
20,Imp BU,2,20.0,254.0
20,Real,20,,
20,Top-Down,6,6.0,6560.0
20,Imp BU,3,37.0,575.5
20,Real,18,,
20,Top-Down,4,6.0,6596.0
20,Imp BU,4,41.0,741.5
20,Real,20,,
20,Top-Down,2,3.0,6592.0
20,Imp BU,4,19.0,200.5
20,Real,17,,
20,Top-Down,5,6.0,5973.5
20,Imp BU,3,18.0,244.0
20,Real,20,,
20,Top-Down,5,7.0,6319.5
20,Imp BU,1,12.0,227.0
20,Real,15,,
20,Top-Down,3,3.0,4953.5
20,Imp BU,2,32.0,478.0
20,Real,20,,
20,Top-Down,3,4.0,6774.5
20,Imp BU,2,12.0,145.0
20,Real,18,,
20,Top-Down,3,3.0,5703.5
20,Imp BU,5,57.0,706.5
20,Real,16,,
20,Top-Down,7,7.0,5805.5
20,Imp BU,7,30.0,389.0
20,Real,12,,
20,Top-Down,4,4.0,5073.0
20,Imp BU,1,30.0,385.0
20,Real,8,,
20,Top-Down,5,5.0,4769.5
20,Imp BU,3,50.0,682.0
20,Real,23,,
20,Top-Down,2,5.0,6657.0
20,Imp BU,6,62.0,792.0
20,Real,18,,
20,Top-Down,5,6.0,5910.5
20,Imp BU,8,41.0,615.5
20,Real,21,,
20,Top-Down,5,5.0,6951.5
20,Imp BU,8,77.0,840.5
20,Real,17,,
20,Top-Down,5,5.0,4307.5
20,Imp BU,1,19.0,192.5
20,Real,18,,
20,Top-Down,7,7.0,5948.5
20,Imp BU,2,32.0,526.0
20,Real,21,,
20,Top-Down,5,5.0,5856.5
20,Imp BU,3,33.0,394.5
20,Real,13,,
20,Top-Down,5,5.0,5093.5
20,Imp BU,3,28.0,435.0
20,Real,21,,
20,Top-Down,6,7.0,5146.0
20,Imp BU,4,52.0,750.0
20,Real,17,,
20,Top-Down,4,4.0,6434.0
20,Imp BU,2,2.0,19.0
20,Real,19,,
20,Top-Down,5,5.0,6304.5
20,Imp BU,6,37.0,433.5
20,Real,19,,
20,Top-Down,6,7.0,6592.0
20,Imp BU,2,14.0,173.0
20,Real,17,,
20,Top-Down,4,5.0,5743.0
20,Imp BU,5,54.0,672.0
20,Real,19,,
20,Top-Down,3,6.0,6786.5
20,Imp BU,4,40.0,474.0
20,Real,18,,
20,Top-Down,5,6.0,5630.5
20,Imp BU,2,22.0,280.0
20,Real,19,,
20,Top-Down,8,8.0,6655.0
20,Imp BU,3,37.0,358.5
20,Real,19,,
20,Top-Down,5,6.0,6766.5
20,Imp BU,2,30.0,433.0
30,Real,20,,
30,Top-Down,4,4.0,6996.0
30,Imp BU,5,33.0,327.5
30,Real,22,,
30,Top-Down,6,7.0,6198.0
30,Imp BU,3,38.0,574.0
30,Real,16,,
30,Top-Down,5,5.0,5809.5
30,Imp BU,6,53.0,783.5
30,Real,23,,
30,Top-Down,4,6.0,6676.0
30,Imp BU,5,56.0,903.0
30,Real,16,,
30,Top-Down,5,6.0,6112.5
30,Imp BU,1,36.0,522.125
